LocationTime,LOCATION,INDICATOR,TIME,Value
LUX-2010,LUX,ALCOHOL,2010,11.9
LUX-2011,LUX,ALCOHOL,2011,11.8
LUX-2012,LUX,ALCOHOL,2012,11.8
LUX-2013,LUX,ALCOHOL,2013,11.4
LUX-2014,LUX,ALCOHOL,2014,11.6
LUX-2015,LUX,ALCOHOL,2015,11.5
LUX-2016,LUX,ALCOHOL,2016,11.4
LUX-2017,LUX,ALCOHOL,2017,11.3
LUX-2018,LUX,ALCOHOL,2018,11.1
LUX-2019,LUX,ALCOHOL,2019,11.0
MEX-1990,MEX,ALCOHOL,1990,4.9
MEX-1991,MEX,ALCOHOL,1991,4.8
MEX-1992,MEX,ALCOHOL,1992,5.3
MEX-1993,MEX,ALCOHOL,1993,5.2
MEX-1994,MEX,ALCOHOL,1994,5.2
MEX-1995,MEX,ALCOHOL,1995,5.1
MEX-1996,MEX,ALCOHOL,1996,5.3
MEX-1997,MEX,ALCOHOL,1997,4.8
MEX-1998,MEX,ALCOHOL,1998,4.9
MEX-1999,MEX,ALCOHOL,1999,4.9
MEX-2000,MEX,ALCOHOL,2000,5.2
MEX-2001,MEX,ALCOHOL,2001,5.0
MEX-2002,MEX,ALCOHOL,2002,4.9
