LocationTime,LOCATION,TIME,Work_Hour_Val
JPN-1995,JPN,1995,1883.67163805399
JPN-1996,JPN,1996,1892.17383379122
JPN-1997,JPN,1997,1864.69458219238
JPN-1998,JPN,1998,1841.91828473556
JPN-1999,JPN,1999,1810.41293847937
JPN-2000,JPN,2000,1821.26608931072
JPN-2001,JPN,2001,1808.56843512808
JPN-2002,JPN,2002,1798.36403736579
JPN-2003,JPN,2003,1798.61597518687
JPN-2004,JPN,2004,1785.42755087091
JPN-2005,JPN,2005,1776.51190226816
JPN-2006,JPN,2006,1785.56153305793
JPN-2007,JPN,2007,1784.75017724955
JPN-2008,JPN,2008,1771.35159607269
JPN-2009,JPN,2009,1713.5176025883
JPN-2010,JPN,2010,1732.9111403791
JPN-2011,JPN,2011,1728.18618129948
JPN-2012,JPN,2012,1745.08814928735
JPN-2013,JPN,2013,1733.59358107287
JPN-2014,JPN,2014,1729.33012288899
JPN-2015,JPN,2015,1719.29363508473
JPN-2016,JPN,2016,1713.54373605724
JPN-2017,JPN,2017,1708.580314583
JPN-2018,JPN,2018,1680.16706755507
JPN-2019,JPN,2019,1643.81852049291
JPN-2020,JPN,2020,1597.98137890323
KOR-2008,KOR,2008,2228.0
KOR-2009,KOR,2009,2174.0
KOR-2010,KOR,2010,2163.0
KOR-2011,KOR,2011,2136.0
KOR-2012,KOR,2012,2119.0
KOR-2013,KOR,2013,2106.0
KOR-2014,KOR,2014,2076.0
KOR-2015,KOR,2015,2083.0
KOR-2016,KOR,2016,2068.0
KOR-2017,KOR,2017,2018.0
KOR-2018,KOR,2018,1993.0
KOR-2019,KOR,2019,1967.0
KOR-2020,KOR,2020,1908.0
LTU-1995,LTU,1995,1527.03702167863
LTU-1996,LTU,1996,1524.99206594425
LTU-1997,LTU,1997,1529.97908978305
LTU-1998,LTU,1998,1571.39177145398
LTU-1999,LTU,1999,1524.0814923735
LTU-2000,LTU,2000,1630.22612368676
LTU-2001,LTU,2001,1616.9722659282
LTU-2002,LTU,2002,1591.32786095377
LTU-2003,LTU,2003,1576.94397580088
LTU-2004,LTU,2004,1658.77110558846
LTU-2005,LTU,2005,1659.14619814232
LTU-2006,LTU,2006,1654.9398713045
LTU-2007,LTU,2007,1681.03384640719
LTU-2008,LTU,2008,1707.34976351776
LTU-2009,LTU,2009,1644.99276125303
LTU-2010,LTU,2010,1696.68334963883
LTU-2011,LTU,2011,1674.21813177886
LTU-2012,LTU,2012,1672.25423091727
LTU-2013,LTU,2013,1657.48197881684
LTU-2014,LTU,2014,1649.89161888423
LTU-2015,LTU,2015,1673.20164604178
LTU-2016,LTU,2016,1694.33100105012
LTU-2017,LTU,2017,1656.89891288405
LTU-2018,LTU,2018,1664.02142625743
LTU-2019,LTU,2019,1665.38172630321
LTU-2020,LTU,2020,1594.92569904759
LUX-1995,LUX,1995,1615.0
LUX-1996,LUX,1996,1593.0
LUX-1997,LUX,1997,1600.0
LUX-1998,LUX,1998,1599.0
LUX-1999,LUX,1999,1598.0
LUX-2000,LUX,2000,1605.0
LUX-2001,LUX,2001,1593.0
LUX-2002,LUX,2002,1588.0
LUX-2003,LUX,2003,1586.0
LUX-2004,LUX,2004,1586.0
LUX-2005,LUX,2005,1567.0
LUX-2006,LUX,2006,1567.0
LUX-2007,LUX,2007,1581.0
LUX-2008,LUX,2008,1581.0
LUX-2009,LUX,2009,1518.0
LUX-2010,LUX,2010,1521.0
LUX-2011,LUX,2011,1520.0
LUX-2012,LUX,2012,1514.0
LUX-2013,LUX,2013,1506.0
LUX-2014,LUX,2014,1512.0
LUX-2015,LUX,2015,1519.0
LUX-2016,LUX,2016,1518.0
LUX-2017,LUX,2017,1508.0
LUX-2018,LUX,2018,1509.0
LUX-2019,LUX,2019,1507.0
LUX-2020,LUX,2020,1420.0
LVA-1995,LVA,1995,1867.14728530109
LVA-1996,LVA,1996,1865.49599297623
LVA-1997,LVA,1997,1861.20988773918
LVA-1998,LVA,1998,1860.04230010733
LVA-1999,LVA,1999,1861.48667794604
LVA-2000,LVA,2000,1864.64714182025
LVA-2001,LVA,2001,1872.52116783174
LVA-2002,LVA,2002,1841.68175321998
LVA-2003,LVA,2003,1835.99985925491
LVA-2004,LVA,2004,1802.15882237893
LVA-2005,LVA,2005,1842.13360460736
LVA-2006,LVA,2006,1829.00389600415
LVA-2007,LVA,2007,1793.6259227834
LVA-2008,LVA,2008,1751.08406506372
LVA-2009,LVA,2009,1707.33103845604
LVA-2010,LVA,2010,1692.39593161207
LVA-2011,LVA,2011,1707.03972138554
LVA-2012,LVA,2012,1691.63541143043
LVA-2013,LVA,2013,1685.92927524911
LVA-2014,LVA,2014,1695.3034247988
LVA-2015,LVA,2015,1663.1809081539
LVA-2016,LVA,2016,1663.83562339581
LVA-2017,LVA,2017,1649.86029054117
LVA-2018,LVA,2018,1661.30900321798
LVA-2019,LVA,2019,1631.03648732936
LVA-2020,LVA,2020,1576.93028785356
MEX-1991,MEX,1991,2113.0
MEX-1992,MEX,1992,2104.0
MEX-1993,MEX,1993,2112.0
MEX-1994,MEX,1994,2146.0
MEX-1995,MEX,1995,2161.0
MEX-1996,MEX,1996,2192.0
MEX-1997,MEX,1997,2241.0
MEX-1998,MEX,1998,2168.0
MEX-1999,MEX,1999,2242.0
MEX-2000,MEX,2000,2174.0
MEX-2001,MEX,2001,2146.0
MEX-2002,MEX,2002,2196.0
MEX-2003,MEX,2003,2143.0
MEX-2004,MEX,2004,2123.0
MEX-2005,MEX,2005,2105.0
MEX-2006,MEX,2006,2067.0
MEX-2007,MEX,2007,2045.0
MEX-2008,MEX,2008,2105.0
MEX-2009,MEX,2009,1973.0
MEX-2010,MEX,2010,2150.0
MEX-2011,MEX,2011,2121.0
MEX-2012,MEX,2012,2120.0
MEX-2013,MEX,2013,2136.0
MEX-2014,MEX,2014,2134.05959674238
MEX-2015,MEX,2015,2139.8933018532
MEX-2016,MEX,2016,2145.88758683254
MEX-2017,MEX,2017,2148.53849544537
MEX-2018,MEX,2018,2149.40816249208
MEX-2019,MEX,2019,2138.88973353248
