LocationTime,LOCATION,INDICATOR,TIME,Soc_Spend_Val
CZE-2005,CZE,SOCEXP,2005,0.469
CZE-2006,CZE,SOCEXP,2006,0.507
CZE-2007,CZE,SOCEXP,2007,0.509
CZE-2008,CZE,SOCEXP,2008,0.592
CZE-2009,CZE,SOCEXP,2009,0.772
CZE-2010,CZE,SOCEXP,2010,0.774
CZE-2011,CZE,SOCEXP,2011,0.806
CZE-2012,CZE,SOCEXP,2012,0.962
CZE-2013,CZE,SOCEXP,2013,0.746
CZE-2014,CZE,SOCEXP,2014,0.807
CZE-2015,CZE,SOCEXP,2015,0.769
CZE-2016,CZE,SOCEXP,2016,0.822
CZE-2017,CZE,SOCEXP,2017,0.85
CZE-1990,CZE,SOCEXP,1990,14.025
CZE-1991,CZE,SOCEXP,1991,15.077
CZE-1992,CZE,SOCEXP,1992,15.349
CZE-1993,CZE,SOCEXP,1993,15.616
CZE-1994,CZE,SOCEXP,1994,15.699
CZE-1995,CZE,SOCEXP,1995,15.965
CZE-1996,CZE,SOCEXP,1996,15.982
CZE-1997,CZE,SOCEXP,1997,16.724
CZE-1998,CZE,SOCEXP,1998,17.055
CZE-1999,CZE,SOCEXP,1999,17.698
CZE-2000,CZE,SOCEXP,2000,17.859
CZE-2001,CZE,SOCEXP,2001,17.807
CZE-2002,CZE,SOCEXP,2002,18.545
CZE-2003,CZE,SOCEXP,2003,18.679
CZE-2004,CZE,SOCEXP,2004,17.842
CZE-2005,CZE,SOCEXP,2005,17.96
CZE-2006,CZE,SOCEXP,2006,17.646
CZE-2007,CZE,SOCEXP,2007,17.432
CZE-2008,CZE,SOCEXP,2008,17.719
CZE-2009,CZE,SOCEXP,2009,19.996
CZE-2010,CZE,SOCEXP,2010,19.572
CZE-2011,CZE,SOCEXP,2011,19.619
CZE-2012,CZE,SOCEXP,2012,19.827
CZE-2013,CZE,SOCEXP,2013,20.677
CZE-2014,CZE,SOCEXP,2014,20.07
CZE-2015,CZE,SOCEXP,2015,19.273
CZE-2016,CZE,SOCEXP,2016,18.888
CZE-2017,CZE,SOCEXP,2017,18.547
CZE-2018,CZE,SOCEXP,2018,18.759
CZE-2019,CZE,SOCEXP,2019,19.159
CZE-2001,CZE,SOCEXP,2001,16.76
CZE-2003,CZE,SOCEXP,2003,17.485
CZE-2005,CZE,SOCEXP,2005,16.555
CZE-2007,CZE,SOCEXP,2007,15.994
CZE-2009,CZE,SOCEXP,2009,18.555
CZE-2011,CZE,SOCEXP,2011,18.146
CZE-2013,CZE,SOCEXP,2013,19.109
CZE-2015,CZE,SOCEXP,2015,17.813
CZE-2017,CZE,SOCEXP,2017,17.186
CZE-2001,CZE,SOCEXP,2001,16.841
CZE-2003,CZE,SOCEXP,2003,17.729
CZE-2005,CZE,SOCEXP,2005,16.928
CZE-2007,CZE,SOCEXP,2007,16.399
